Customer ID,Gender,Age,Annual Income,Spending Score
1,Male,30,151479,89
2,Female,58,185088,95
3,Female,62,70912,76
4,Male,23,55460,57
5,Male,24,153752,76
6,Male,42,158335,40
7,Female,27,163501,37
8,Male,24,70476,17
9,Male,83,47743,34
10,Female,62,63448,3
11,Male,37,170566,75
12,Female,63,89355,80
13,Male,25,87576,17
14,Female,32,159892,96
15,Female,51,135079,87
16,Female,64,32869,81
17,Male,19,198682,82
18,Male,89,38708,97
19,Male,65,87270,3
20,Male,26,45518,12
21,Male,21,199879,49
22,Male,70,163828,36
23,Male,24,109188,6
24,Female,39,48212,36
25,Male,61,141596,45
26,Female,19,192492,57
27,Male,79,109550,7
28,Female,61,38132,15
29,Female,73,170959,55
30,Male,58,80731,23
31,Female,90,123085,25
32,Female,39,135748,95
33,Female,35,71372,52
34,Male,79,164259,96
35,Female,57,105742,7
36,Male,76,189412,87
37,Male,40,64309,62
38,Female,82,84966,66
39,Female,84,35701,5
40,Female,56,43376,52
41,Female,21,118137,43
42,Male,55,77165,86
43,Male,24,119922,80
44,Male,45,82425,39
45,Male,28,149778,15
46,Female,67,129484,80
47,Female,69,73479,77
48,Female,26,81259,29
49,Male,45,147126,1
50,Female,39,44774,12
51,Female,27,198647,25
52,Female,58,85181,16
53,Male,46,87741,3
54,Female,45,137494,68
55,Female,63,56531,2
56,Male,36,63564,23
57,Female,25,198265,29
58,Male,62,22655,39
59,Male,36,125614,35
60,Female,48,170509,54
61,Female,50,101081,32
62,Female,48,45667,95
63,Female,49,189732,2
64,Female,80,30718,49
65,Female,33,134933,90
66,Male,21,55978,34
67,Female,38,36650,91
68,Female,83,173558,53
69,Female,54,29187,61
70,Female,81,188612,45
71,Male,44,101492,55
72,Male,23,169008,31
73,Female,39,145660,81
74,Female,75,118063,35
75,Female,19,95891,93
76,Male,24,154402,79
77,Female,44,112848,14
78,Female,55,127451,31
79,Male,60,98827,27
80,Male,33,67969,27
81,Female,52,60785,9
82,Female,72,66416,53
83,Male,72,152544,59
84,Female,72,35507,72
85,Male,68,167873,24
86,Male,65,23002,32
87,Female,81,111464,34
88,Female,64,120469,20
89,Male,76,85934,48
90,Female,30,99419,4
91,Female,68,194339,35
92,Male,70,187033,14
93,Male,57,164879,9
94,Female,90,34276,98
95,Male,65,97470,67
96,Female,36,142836,40
97,Female,72,62084,59
98,Male,61,166752,93
99,Male,46,43269,54
100,Male,68,114111,42
101,Female,31,75683,65
102,Male,51,196283,31
103,Female,37,132793,22
104,Male,25,141598,63
105,Male,30,195148,27
106,Female,21,175112,33
107,Male,65,81473,10
108,Male,21,172147,80
109,Female,22,106474,74
110,Female,70,198254,13
111,Male,71,148746,13
112,Female,27,40263,77
113,Female,21,115816,55
114,Male,53,149880,32
115,Female,51,88029,84
116,Female,49,193839,43
117,Female,56,54564,18
118,Male,55,134714,96
119,Male,84,187596,44
120,Male,38,129717,71
121,Female,46,48265,62
122,Male,27,179234,97
123,Female,53,156298,35
124,Male,65,156022,49
125,Male,22,158363,83
126,Female,23,114512,25
127,Female,18,96397,64
128,Female,44,171517,76
129,Female,38,181538,68
130,Male,54,47403,42
131,Female,88,167725,51
132,Female,24,185297,95
133,Male,70,160196,34
134,Female,42,117940,82
135,Male,74,190938,65
136,Female,22,138220,20
137,Male,78,94764,75
138,Female,44,83991,1
139,Male,70,82642,56
140,Female,58,123333,91
141,Male,38,70435,24
142,Male,88,189093,50
143,Female,33,177848,29
144,Female,59,96744,97
145,Female,72,83218,32
146,Male,27,39027,29
147,Female,35,139195,33
148,Female,37,144020,45
149,Female,44,186527,6
150,Male,29,48177,53
151,Female,58,139447,35
152,Female,39,119071,3
153,Male,33,181795,1
154,Female,65,150797,44
155,Female,52,76398,31
156,Female,45,58209,64
157,Male,82,122425,46
158,Female,59,46020,78
159,Female,34,61463,72
160,Male,52,29917,3
161,Male,59,194285,47
162,Female,45,96402,43
163,Male,29,146297,82
164,Male,83,148435,71
165,Male,26,111030,96
166,Male,79,27136,48
167,Male,49,197608,33
168,Female,19,55184,32
169,Female,48,92981,70
170,Male,22,40540,40
171,Male,54,88161,40
172,Male,83,165910,52
173,Male,60,167341,34
174,Female,78,90847,77
175,Female,33,35619,73
176,Female,27,41176,50
177,Female,33,120389,51
178,Male,55,74456,13
179,Female,46,181085,64
180,Female,87,46613,76
181,Male,79,83333,73
182,Female,19,165788,44
183,Female,22,99687,51
184,Male,31,83755,8
185,Male,84,155012,80
186,Male,27,56250,100
187,Male,20,111933,39
188,Male,36,191350,99
189,Female,77,94946,92
190,Female,67,63064,26
191,Male,26,82707,4
192,Female,34,135368,27
193,Male,40,44192,70
194,Male,41,32923,95
195,Male,57,100359,18
196,Female,35,28555,18
197,Female,85,142048,11
198,Female,63,111526,91
199,Male,35,33041,15
200,Male,77,157332,57
201,Male,25,71927,39
202,Male,28,194371,19
203,Male,31,85563,28
204,Female,85,130091,37
205,Male,90,42161,94
206,Male,28,159617,71
207,Male,70,46295,54
208,Male,46,74147,48
209,Male,71,190491,75
210,Female,81,124912,24
211,Male,35,84210,53
212,Male,37,134784,6
213,Male,71,185966,6
214,Male,50,140875,83
215,Male,65,177020,100
216,Male,83,151188,88
217,Female,39,33191,2
218,Female,32,163264,64
219,Male,26,40345,23
220,Male,24,184070,21
221,Female,65,44776,36
222,Female,36,119502,52
223,Female,41,113729,54
224,Female,83,194008,55
225,Female,61,60084,36
226,Female,84,144269,1
227,Female,33,109638,49
228,Female,89,88161,50
229,Female,35,182663,68
230,Female,89,91139,59
231,Male,40,180570,23
232,Female,69,57994,35
233,Female,88,172761,69
234,Female,34,38774,84
235,Male,88,80079,9
236,Female,61,23888,59
237,Female,60,189867,98
238,Female,78,23342,91
239,Female,35,76836,29
240,Male,53,170065,28
241,Male,33,99420,64
242,Male,86,174987,71
243,Female,90,117976,85
244,Male,84,74475,54
245,Female,54,103099,49
246,Male,20,188784,21
247,Female,86,28187,37
248,Female,73,145465,54
249,Female,35,120472,94
250,Female,88,37300,4
251,Female,54,113062,65
252,Male,19,150107,61
253,Male,84,22452,48
254,Female,60,42834,32
255,Female,39,81494,66
256,Female,85,59981,38
257,Female,60,91707,89
258,Male,85,31207,51
259,Female,82,160112,44
260,Male,44,199826,4
261,Male,48,124952,1
262,Female,21,42522,48
263,Male,87,54581,94
264,Male,41,68045,37
265,Female,52,141101,30
266,Female,76,74629,27
267,Female,72,70373,4
268,Male,67,22820,19
269,Female,32,83620,77
270,Female,71,96598,33
271,Male,38,55259,53
272,Female,57,26527,59
273,Male,80,152277,50
274,Male,60,150622,51
275,Male,53,177668,26
276,Female,84,138972,90
277,Male,26,52463,75
278,Female,34,139068,63
279,Female,67,193657,23
280,Female,31,154450,38
281,Female,81,116964,89
282,Male,67,122895,41
283,Female,32,176367,2
284,Female,32,118656,21
285,Male,81,68370,93
286,Male,77,105926,7
287,Female,27,124703,17
288,Female,59,147027,49
289,Female,37,110855,1
290,Male,47,70702,66
291,Male,28,82523,10
292,Male,63,42330,88
293,Male,18,178560,90
294,Male,55,129907,39
295,Female,46,134580,1
296,Female,72,107376,38
297,Female,78,125187,95
298,Male,62,186372,61
299,Female,60,127462,31
300,Female,76,74630,37
301,Male,32,95027,5
302,Female,77,126515,52
303,Male,56,166446,89
304,Male,64,158708,2
305,Female,67,120643,87
306,Male,52,57458,35
307,Female,58,29260,83
308,Male,50,190730,46
309,Female,54,184263,13
310,Male,23,142365,37
311,Male,59,193543,47
312,Female,22,129465,92
313,Male,77,65179,75
314,Male,53,30343,26
315,Female,46,38876,73
316,Male,57,135290,39
317,Female,76,189305,39
318,Male,34,151112,35
319,Male,89,66323,86
320,Female,34,174069,15
321,Male,64,76655,16
322,Male,24,143372,25
323,Female,55,111764,18
324,Male,84,142286,39
325,Female,72,148326,95
326,Female,53,101061,61
327,Male,85,161924,26
328,Female,85,173245,84
329,Male,45,196725,19
330,Female,43,20953,32
331,Female,86,109022,29
332,Female,19,129516,21
333,Female,45,164003,51
334,Female,36,27840,36
335,Female,51,145171,71
336,Male,38,26427,39
337,Male,27,56203,32
338,Male,19,82173,10
339,Male,81,54017,17
340,Male,72,54956,2
341,Male,78,186007,97
342,Male,53,160578,6
343,Female,83,178348,29
344,Female,77,169719,55
345,Female,54,165825,98
346,Male,42,193045,89
347,Male,70,78287,3
348,Female,29,118684,34
349,Male,88,116405,39
350,Male,37,121849,4
351,Female,22,143719,41
352,Female,21,101576,83
353,Female,36,26334,57
354,Male,50,157555,17
355,Male,53,74738,55
356,Male,70,129521,31
357,Female,38,137145,59
358,Male,58,38318,60
359,Female,48,91467,69
360,Female,51,45879,15
361,Male,27,52391,41
362,Female,33,119850,56
363,Female,76,170078,6
364,Male,79,117332,26
365,Female,52,174466,55
366,Female,85,101361,96
367,Male,18,98304,58
368,Female,41,144752,78
369,Female,82,24320,23
370,Male,54,106714,20
371,Male,22,194907,76
372,Male,75,85799,96
373,Male,71,63982,75
374,Female,41,87073,25
375,Female,90,140436,10
376,Female,21,90740,56
377,Male,69,174694,43
378,Female,75,71474,91
379,Male,70,56374,7
380,Male,40,88459,95
381,Female,23,133914,44
382,Female,41,182523,79
383,Male,34,183346,22
384,Female,78,136769,33
385,Male,40,20733,51
386,Female,20,41393,30
387,Male,73,36205,21
388,Female,47,65662,57
389,Male,56,97772,74
390,Female,71,197836,15
391,Female,57,54469,10
392,Female,60,124047,98
393,Male,73,81323,70
394,Female,82,39391,26
395,Male,48,101082,26
396,Female,77,109549,74
397,Male,59,194924,40
398,Male,60,178052,54
399,Female,23,106726,22
400,Male,45,198713,19
401,Male,63,92958,25
402,Male,18,159187,56
403,Male,71,93430,16
404,Female,24,42163,74
405,Female,71,122521,66
406,Female,87,135385,78
407,Male,44,183922,2
408,Male,70,20908,68
409,Female,58,173955,56
410,Female,88,94293,83
411,Female,26,21649,59
412,Female,69,180330,53
413,Male,73,37561,86
414,Female,88,81898,73
415,Male,64,101560,75
416,Male,85,44607,13
417,Male,64,173348,84
418,Female,63,127435,77
419,Male,64,170870,72
420,Male,21,129790,7
421,Male,79,80187,83
422,Male,83,159614,8
423,Male,76,89407,16
424,Male,67,153531,59
425,Female,85,198777,89
426,Male,59,78594,19
427,Male,55,85115,91
428,Male,39,193628,85
429,Female,77,102407,100
430,Female,34,89281,56
431,Male,86,82548,60
432,Female,40,103640,52
433,Female,68,91405,1
434,Male,79,123445,66
435,Male,29,137270,66
436,Male,83,171348,63
437,Female,41,141119,40
438,Female,82,127526,14
439,Female,75,185054,47
440,Female,78,107494,94
441,Male,53,57688,10
442,Male,78,149736,44
443,Male,75,50256,78
444,Female,66,134911,59
445,Female,86,74521,6
446,Male,29,148755,82
447,Female,19,161632,9
448,Male,68,38528,98
449,Male,84,22909,75
450,Female,67,187832,10
451,Female,46,95914,81
452,Female,55,153041,38
453,Male,84,76245,50
454,Male,67,129619,38
455,Female,69,198222,25
456,Male,65,119444,93
457,Male,78,38448,48
458,Male,40,97741,52
459,Female,72,164386,46
460,Male,54,91225,28
461,Female,19,122126,46
462,Female,62,54526,76
463,Male,55,158515,50
464,Female,26,154839,83
465,Male,51,154021,71
466,Male,51,191537,41
467,Male,34,66604,91
468,Female,79,69881,29
469,Female,53,85717,13
470,Female,49,190332,53
471,Male,48,26077,52
472,Female,23,174708,85
473,Female,80,156773,67
474,Female,19,169276,95
475,Female,79,95639,76
476,Female,75,124498,27
477,Female,44,120679,77
478,Male,52,152295,91
479,Male,69,165227,27
480,Female,66,159783,32
481,Female,38,175705,31
482,Female,64,137245,60
483,Female,45,194383,4
484,Female,73,59263,35
485,Female,63,95665,99
486,Male,73,48069,82
487,Female,83,113215,70
488,Male,74,53856,23
489,Female,39,172160,6
490,Female,86,72309,54
491,Male,41,49545,43
492,Female,57,120031,39
493,Male,69,167306,54
494,Male,66,89511,46
495,Male,40,55208,16
496,Female,60,108863,80
497,Female,46,181242,98
498,Male,88,169138,100
499,Female,57,164003,55
500,Female,51,37102,43
501,Male,70,55667,22
502,Female,64,176766,68
503,Male,81,196637,74
504,Female,20,184387,40
505,Male,58,104660,47
506,Female,77,139804,22
507,Female,41,174504,52
508,Male,86,52216,62
509,Male,40,80082,79
510,Female,43,127348,7
511,Male,56,48666,47
512,Female,74,40689,75
513,Male,82,135260,63
514,Female,25,135621,44
515,Male,52,22771,1
516,Male,36,185752,31
517,Male,58,124853,30
518,Female,83,25680,74
519,Female,49,123489,79
520,Female,79,123362,7
521,Female,36,133984,93
522,Male,56,50427,52
523,Male,74,109479,75
524,Female,29,79914,38
525,Male,48,70861,79
526,Male,61,173781,57
527,Male,42,124496,64
528,Male,20,190420,69
529,Male,34,100159,59
530,Male,33,54510,96
531,Male,38,156178,41
532,Male,51,59939,59
533,Male,22,145127,53
534,Male,67,64896,99
535,Female,84,88812,51
536,Female,26,154753,57
537,Male,69,159919,40
538,Male,19,45336,53
539,Female,56,160231,12
540,Male,41,144324,21
541,Female,22,131870,14
542,Male,69,20104,39
543,Female,57,77952,5
544,Male,24,199076,65
545,Male,31,92650,2
546,Male,25,170959,70
547,Male,55,83562,34
548,Male,54,172382,23
549,Male,39,60008,27
550,Male,31,144867,81
551,Male,72,196122,11
552,Female,87,27167,33
553,Male,71,168707,99
554,Female,69,93861,12
555,Female,37,55490,27
556,Female,47,114120,15
557,Male,52,187849,59
558,Female,49,99984,63
559,Male,74,184858,29
560,Male,34,160824,50
561,Male,72,73969,65
562,Female,36,138816,65
563,Male,28,145481,88
564,Female,90,114829,2
565,Male,47,87398,24
566,Male,86,61327,7
567,Female,73,124554,15
568,Female,55,83935,85
569,Male,67,60892,59
570,Male,78,20413,44
571,Male,64,108810,63
572,Female,43,132743,36
573,Female,83,104181,1
574,Male,34,125144,85
575,Female,77,32247,63
576,Male,59,111425,52
577,Female,72,38618,31
578,Male,57,63778,57
579,Male,71,193546,63
580,Male,31,30505,48
581,Female,81,72824,24
582,Male,82,117130,58
583,Male,41,114443,14
584,Female,58,126819,34
585,Female,72,160849,97
586,Male,80,95597,47
587,Female,23,73735,98
588,Female,83,163569,18
589,Female,35,195678,71
590,Male,67,122477,19
591,Female,29,98005,38
592,Female,66,140084,44
593,Female,33,183148,84
594,Male,87,140111,44
595,Female,72,38611,87
596,Male,61,195305,66
597,Male,63,170688,73
598,Female,69,78140,41
599,Male,31,153008,58
600,Female,27,131134,99
601,Male,22,76090,13
602,Female,38,184355,71
603,Female,83,31241,58
604,Male,50,91230,27
605,Female,38,65547,61
606,Male,75,129187,21
607,Female,70,91037,11
608,Female,85,153007,31
609,Female,87,152894,70
610,Male,57,31879,43
611,Female,36,96992,80
612,Male,54,174665,37
613,Female,43,56543,81
614,Female,87,24933,70
615,Female,39,47123,26
616,Male,74,134385,26
617,Female,45,71723,21
618,Female,26,158873,77
619,Male,44,163155,79
620,Male,21,144965,36
621,Female,31,144207,81
622,Male,82,109643,16
623,Male,22,100009,28
624,Male,53,71711,100
625,Male,69,192592,71
626,Female,30,196354,9
627,Female,64,183627,18
628,Female,82,194775,74
629,Female,57,167315,32
630,Female,22,140054,51
631,Male,56,97860,53
632,Female,90,199124,11
633,Female,34,57864,62
634,Male,41,95094,78
635,Female,21,146016,85
636,Male,21,63732,88
637,Male,47,40378,10
638,Male,87,142648,72
639,Male,86,183401,24
640,Female,71,74309,26
641,Male,20,150191,99
642,Male,33,139770,8
643,Male,64,195668,83
644,Male,84,196994,86
645,Male,66,153493,46
646,Female,21,65829,71
647,Female,71,68902,7
648,Male,48,34334,72
649,Female,69,140446,31
650,Female,42,50311,98
651,Male,62,180947,48
652,Female,50,75689,44
653,Male,82,168093,92
654,Male,84,90479,96
655,Female,34,67592,9
656,Female,54,38854,91
657,Female,37,63136,78
658,Male,90,133348,62
659,Male,39,190374,50
660,Female,87,131804,6
661,Male,39,119018,38
662,Female,80,48706,31
663,Female,68,140546,51
664,Female,66,112968,73
665,Male,85,129072,61
666,Male,37,196133,55
667,Female,53,127298,8
668,Male,57,103755,14
669,Male,89,62184,22
670,Male,63,88947,26
671,Female,37,180052,88
672,Male,58,166959,29
673,Female,62,150808,36
674,Female,81,102709,6
675,Female,89,133661,2
676,Male,19,144231,36
677,Male,39,194799,46
678,Female,42,191997,89
679,Male,58,100317,11
680,Male,72,96935,89
681,Male,24,180003,17
682,Female,90,38784,64
683,Female,25,143162,45
684,Male,84,95450,78
685,Female,52,24667,41
686,Female,66,67024,81
687,Male,55,180936,58
688,Female,30,97533,99
689,Male,79,152325,95
690,Male,75,87225,9
691,Female,28,70856,59
692,Male,88,39342,67
693,Female,42,40136,53
694,Male,48,71283,1
695,Male,64,145973,16
696,Female,44,34010,57
697,Male,39,33550,11
698,Female,32,45918,4
699,Female,80,136836,85
700,Female,34,46580,2
701,Male,70,179860,41
702,Male,83,180766,80
703,Female,31,197347,72
704,Male,18,132488,87
705,Male,86,68477,32
706,Male,82,100445,77
707,Male,86,96699,35
708,Female,34,51610,82
709,Female,46,129463,22
710,Female,54,113387,97
711,Female,85,49379,15
712,Male,49,88212,96
713,Female,73,190422,63
714,Female,60,173741,20
715,Male,62,153858,17
716,Male,21,33269,93
717,Male,65,162596,64
718,Male,83,74815,82
719,Female,42,28411,7
720,Male,90,163256,4
721,Female,78,45558,72
722,Female,61,159298,70
723,Female,64,166158,55
724,Male,18,154195,30
725,Female,35,76966,71
726,Female,18,33355,2
727,Female,83,119458,21
728,Male,58,30990,37
729,Female,20,45574,88
730,Male,78,160067,80
731,Male,71,129333,61
732,Male,54,112107,44
733,Female,29,86306,9
734,Female,48,162071,67
735,Female,36,129514,72
736,Female,54,185161,38
737,Male,67,114207,5
738,Male,19,120882,56
739,Male,35,181792,42
740,Male,27,59681,34
741,Male,18,122518,85
742,Male,63,114478,99
743,Female,71,147895,83
744,Male,29,30192,79
745,Female,47,130569,49
746,Male,89,175733,34
747,Male,66,48675,54
748,Female,46,187218,81
749,Male,89,65850,49
750,Female,34,30409,78
751,Female,43,86441,81
752,Female,64,81651,73
753,Male,71,154377,32
754,Female,42,89716,47
755,Female,33,170368,3
756,Male,24,149763,24
757,Male,85,75489,14
758,Female,26,58208,78
759,Female,65,183468,82
760,Female,86,197393,62
761,Female,69,64739,84
762,Male,23,94882,66
763,Male,35,93920,74
764,Female,45,194577,22
765,Female,70,161459,45
766,Female,62,151015,74
767,Female,57,87265,99
768,Female,52,197380,64
769,Male,50,164703,73
770,Female,35,87068,74
771,Female,67,142820,12
772,Female,20,57414,66
773,Female,23,35821,26
774,Female,68,129922,70
775,Male,31,165920,39
776,Female,40,96771,51
777,Male,74,160882,5
778,Female,34,55983,9
779,Female,41,158601,18
780,Female,66,180763,79
781,Female,32,24024,19
782,Male,85,103010,34
783,Female,42,49970,13
784,Male,90,153585,36
785,Female,71,95374,36
786,Female,84,33155,68
787,Male,87,144187,83
788,Female,76,98844,84
789,Female,52,48968,100
790,Female,23,84346,17
791,Female,80,80553,8
792,Female,84,71621,89
793,Female,55,135073,12
794,Male,79,93783,33
795,Male,70,198305,85
796,Female,53,146455,68
797,Male,31,177879,20
798,Male,64,171097,24
799,Male,58,166019,39
800,Male,48,55191,99
801,Female,65,111980,58
802,Male,62,74749,94
803,Male,20,56688,4
804,Female,33,98626,82
805,Male,46,115058,75
806,Female,41,199456,9
807,Male,68,139769,60
808,Female,49,64643,3
809,Female,86,154730,87
810,Female,70,134646,60
811,Male,55,169165,82
812,Female,64,49198,70
813,Male,88,59948,53
814,Female,39,111425,85
815,Female,58,115529,38
816,Male,49,195029,99
817,Female,20,188328,13
818,Female,31,40699,100
819,Female,46,171943,78
820,Male,88,121555,65
821,Female,25,127328,83
822,Female,87,178693,27
823,Male,78,133038,19
824,Female,50,56604,72
825,Female,55,189945,97
826,Female,85,133601,1
827,Male,41,92549,8
828,Male,31,152964,44
829,Male,43,144656,17
830,Male,83,132512,7
831,Female,69,169335,10
832,Female,45,72217,45
833,Male,36,134815,100
834,Male,80,190903,21
835,Female,59,169200,89
836,Male,34,178957,93
837,Male,23,187873,53
838,Female,19,105512,47
839,Male,61,118870,78
840,Male,86,99837,41
841,Female,21,178843,16
842,Female,80,101836,81
843,Female,83,39314,21
844,Male,32,62758,17
845,Female,36,65511,37
846,Male,67,110877,22
847,Male,76,92593,65
848,Male,47,184654,68
849,Female,37,68561,48
850,Female,69,132316,34
851,Female,64,143666,85
852,Female,24,130987,92
853,Female,66,34176,7
854,Male,42,171128,75
855,Male,72,188096,3
856,Male,51,156948,29
857,Male,47,106157,82
858,Female,20,71561,32
859,Female,42,98960,51
860,Male,46,68144,72
861,Male,82,138788,41
862,Female,27,166551,65
863,Female,28,30736,4
864,Female,73,117656,23
865,Male,67,27210,71
866,Female,44,161667,35
867,Male,55,124649,58
868,Female,59,188031,33
869,Female,36,153529,63
870,Male,51,177697,34
871,Female,72,90187,43
872,Female,49,81804,85
873,Female,60,67828,12
874,Male,77,56428,76
875,Male,74,22367,98
876,Female,65,179989,67
877,Male,37,114596,67
878,Female,40,179075,65
879,Female,62,121950,41
880,Female,57,40925,23
881,Female,20,167993,19
882,Male,32,121633,40
883,Female,60,35782,58
884,Male,87,105032,94
885,Female,26,38428,31
886,Male,44,173937,91
887,Male,26,186992,42
888,Female,80,74099,40
889,Female,63,150185,13
890,Male,71,115198,77
891,Female,63,78296,34
892,Male,28,80307,38
893,Male,55,53038,29
894,Male,87,55792,84
895,Female,36,39689,49
896,Male,19,153781,6
897,Male,52,116662,29
898,Male,38,76663,80
899,Female,24,159414,79
900,Female,72,120085,81
901,Male,63,102167,19
902,Female,37,175496,73
903,Male,38,190821,38
904,Male,71,84268,27
905,Male,39,162820,89
906,Male,80,33193,63
907,Male,80,80537,75
908,Female,51,183939,18
909,Female,33,163858,37
910,Male,87,75396,83
911,Male,50,67687,79
912,Male,83,71541,10
913,Male,71,108614,31
914,Male,19,59348,23
915,Female,85,126069,72
916,Female,62,31948,1
917,Male,89,177512,62
918,Male,90,84929,83
919,Male,90,140063,79
920,Female,57,38224,4
921,Female,40,20442,23
922,Male,47,162352,86
923,Female,36,199934,38
924,Female,79,108865,26
925,Male,71,152722,11
926,Male,26,141600,84
927,Male,28,76394,96
928,Female,90,140857,45
929,Male,36,162031,9
930,Female,55,190813,22
931,Female,40,44095,17
932,Male,67,48217,34
933,Female,45,94535,7
934,Female,83,125511,12
935,Male,66,55422,98
936,Female,59,63061,79
937,Male,67,170005,51
938,Male,41,79851,57
939,Female,81,162193,50
940,Male,80,80468,35
941,Male,39,168654,91
942,Female,75,96952,78
943,Male,71,46751,27
944,Female,90,48500,87
945,Male,83,122787,97
946,Female,44,56095,98
947,Male,78,120169,34
948,Male,66,45575,1
949,Male,41,161614,7
950,Female,64,189594,84
951,Male,46,107928,5
952,Female,44,39712,47
953,Male,27,42401,53
954,Female,53,137028,21
955,Male,46,62957,15
956,Male,59,135310,49
957,Female,29,34703,26
958,Female,69,161582,45
959,Male,83,151968,78
960,Male,32,36442,27
961,Male,75,65116,50
962,Male,36,141308,9
963,Female,69,44115,31
964,Female,28,136112,63
965,Male,31,161192,11
966,Male,35,131200,27
967,Male,41,59087,74
968,Male,66,121139,27
969,Female,89,162578,75
970,Female,47,76662,63
971,Male,43,59106,57
972,Male,49,93112,73
973,Male,25,113464,1
974,Female,24,51686,31
975,Male,37,156602,7
976,Female,75,111023,73
977,Male,58,49579,81
978,Female,74,78019,81
979,Female,51,33185,58
980,Male,68,45630,20
981,Female,58,147733,51
982,Male,76,102849,27
983,Male,39,166452,34
984,Male,86,119742,94
985,Female,86,192901,27
986,Female,82,48232,25
987,Male,74,28100,51
988,Male,33,64795,45
989,Male,43,75609,71
990,Male,30,28032,79
991,Female,36,145469,65
992,Female,63,117469,17
993,Male,22,53048,82
994,Female,44,100108,13
995,Female,60,175868,7
996,Male,41,188180,18
997,Male,88,126918,84
998,Female,73,178461,75
999,Male,84,37244,35
1000,Female,76,124852,9
1001,Female,28,127447,34
1002,Male,54,171757,85
1003,Male,45,48710,79
1004,Female,56,85585,91
1005,Male,64,130835,65
1006,Female,18,88033,82
1007,Male,45,168639,37
1008,Female,69,112028,59
1009,Male,77,56662,78
1010,Male,32,146940,21
1011,Female,41,118767,25
1012,Male,79,101589,50
1013,Female,83,62279,1
1014,Female,53,79103,4
1015,Female,69,30459,11
1016,Male,61,136238,89
1017,Male,79,104565,48
1018,Male,78,135766,86
1019,Female,85,63312,7
